Order Date,Sales
2014-01-31,14236.895
2014-02-28,4519.892
2014-03-31,55691.009
2014-04-30,28295.345
2014-05-31,23648.287
2014-06-30,34595.1276
2014-07-31,33946.393
2014-08-31,27909.4685
2014-09-30,81777.3508
2014-10-31,31453.393
2014-11-30,78628.7167
2014-12-31,69545.6205
2015-01-31,18174.0756
2015-02-28,11951.411
2015-03-31,38726.252
2015-04-30,34195.2085
2015-05-31,30131.6865
2015-06-30,24797.292
2015-07-31,28765.325
2015-08-31,36898.3322
2015-09-30,64595.918
2015-10-31,31404.9235
2015-11-30,75972.5635
2015-12-31,74919.5212
2016-01-31,18542.490999999998
2016-02-29,22978.815
2016-03-31,51715.875
2016-04-30,38750.039000000004
2016-05-31,56987.728
2016-06-30,40344.534
2016-07-31,39261.963
2016-08-31,31115.3743
2016-09-30,73410.0249
2016-10-31,59687.745
2016-11-30,79411.9658
2016-12-31,96999.043
2017-01-31,43971.373999999996
2017-02-28,20301.1334
2017-03-31,58872.3528
2017-04-30,36521.5361
2017-05-31,44261.1102
2017-06-30,52981.7257
2017-07-31,45264.416
2017-08-31,63120.888
2017-09-30,87866.652
2017-10-31,77776.9232
2017-11-30,118447.825
2017-12-31,83829.31880000001
