Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,Week,Quarter,IsWeekend,CompetitionAge,PromoActive,IsHoliday,IsSchoolHoliday,SalesPerCustomer,StoreOpen,Season,MonthStart,MonthEnd
122,5,2015-07-31,12336,1327,1,1,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2.0,1,0,1,9.296156744536548,1,Summer,0,1
251,5,2015-07-31,22205,2508,1,1,0,1,a,c,340.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2015.0,1,0,1,8.853668261562998,1,Summer,0,1
262,5,2015-07-31,25774,3669,1,1,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2.0,1,0,1,7.024802398473699,1,Summer,0,1
320,5,2015-07-31,19898,2316,1,1,0,1,a,c,210.0,9.0,2012.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,3.0,1,0,1,8.59153713298791,1,Summer,0,1
335,5,2015-07-31,17867,2592,1,1,0,1,b,a,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,31,31,3,0,2015.0,1,0,1,6.893132716049383,1,Summer,0,1
383,5,2015-07-31,22129,2297,1,1,0,1,a,c,350.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2015.0,1,0,1,9.63387026556378,1,Summer,0,1
453,5,2015-07-31,13328,1553,1,1,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2015.0,1,0,1,8.582099162910495,1,Summer,0,1
467,5,2015-07-31,17208,1761,1,1,0,1,a,c,20390.0,4.0,2008.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,7.0,1,0,1,9.771720613287904,1,Summer,0,1
562,5,2015-07-31,20303,3255,1,1,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2015.0,1,0,1,6.237480798771121,1,Summer,0,1
586,5,2015-07-31,17879,2501,1,1,0,1,a,c,250.0,10.0,2008.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,7.0,1,0,1,7.14874050379848,1,Summer,0,1
