ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,predicted_sales,lower_sales,upper_sales
2013-01-01,15.127618171154797,14.489234921458136,15.929355516777685,15.127618171154797,15.127618171154797,0.13484582078840562,0.13484582078840562,0.13484582078840562,0.5829040853029833,0.5829040853029833,0.5829040853029833,-0.4480582645145777,-0.4480582645145777,-0.4480582645145777,0.0,0.0,0.0,15.262463991943203,4250145.419453204,1961528.1811120282,8280015.480662889
2013-01-02,15.128091296139456,14.414997012652737,15.928613030471583,15.128091296139456,15.128091296139456,0.05421949486532889,0.05421949486532889,0.05421949486532889,0.48174246812454913,0.48174246812454913,0.48174246812454913,-0.4275229732592203,-0.4275229732592203,-0.4275229732592203,0.0,0.0,0.0,15.182310791004785,3922777.6149316733,1821182.3000549707,8273869.963575168
2013-01-03,15.128564421124116,14.335225832565735,15.863931645574574,15.128564421124116,15.128564421124116,-0.05184920519300482,-0.05184920519300482,-0.05184920519300482,0.3503573578921288,0.3503573578921288,0.3503573578921288,-0.4022065630851336,-0.4022065630851336,-0.4022065630851336,0.0,0.0,0.0,15.076715215931111,3529669.9735213676,1681547.801879275,7755644.948464311
2013-01-04,15.129037546108773,14.498893796012732,15.966857905246373,15.129037546108773,15.129037546108773,0.09487496949922437,0.09487496949922437,0.09487496949922437,0.4675230130735452,0.4675230130735452,0.4675230130735452,-0.37264804357432085,-0.37264804357432085,-0.37264804357432085,0.0,0.0,0.0,15.223912515607998,4089414.1210625335,1980566.140025875,8596431.97854592
2013-01-05,15.129510671093431,14.518473543046872,15.949859316665803,15.129510671093431,15.129510671093431,0.10159701699080217,0.10159701699080217,0.10159701699080217,0.4410481315770356,0.4410481315770356,0.4410481315770356,-0.33945111458623345,-0.33945111458623345,-0.33945111458623345,0.0,0.0,0.0,15.231107688084233,4118944.2780728163,2019727.2750898453,8451539.721905058
2013-01-06,15.129983796078092,11.161448397638596,12.66016298713496,15.129983796078092,15.129983796078092,-3.2192156375699854,-3.2192156375699854,-3.2192156375699854,-2.915945148993291,-2.915945148993291,-2.915945148993291,-0.30327048857669475,-0.30327048857669475,-0.30327048857669475,0.0,0.0,0.0,11.910768158508105,148859.98435402772,70363.79863028898,314947.0511221643
2013-01-07,15.13045692106275,14.697943350711784,16.17815729995374,15.13045692106275,15.13045692106275,0.3275727235632129,0.3275727235632129,0.3275727235632129,0.5923700930102215,0.5923700930102215,0.5923700930102215,-0.26479736944700866,-0.26479736944700866,-0.26479736944700866,0.0,0.0,0.0,15.458029644625963,5168171.201566292,2416771.065958519,10619019.097196022
2013-01-08,15.130930046047409,14.674700185957473,16.252559263084255,15.130930046047409,15.130930046047409,0.3581596517577864,0.3581596517577864,0.3581596517577864,0.5829040853042056,0.5829040853042056,0.5829040853042056,-0.22474443354641913,-0.22474443354641913,-0.22474443354641913,0.0,0.0,0.0,15.489089697805195,5331213.854293082,2361245.4301695935,11439229.333177881
2013-01-09,15.131403171032066,14.694490721246519,16.159261804115648,15.131403171032066,15.131403171032066,0.2979118033887316,0.2979118033887316,0.2979118033887316,0.4817424681289607,0.4817424681289607,0.4817424681289607,-0.1838306647402291,-0.1838306647402291,-0.1838306647402291,0.0,0.0,0.0,15.429314974420798,5021879.2554591345,2408441.235696211,10420251.269442199
2013-01-10,15.131876296016726,14.569850145548708,16.03822794305025,15.131876296016726,15.131876296016726,0.20759096483658163,0.20759096483658163,0.20759096483658163,0.35035735789443573,0.35035735789443573,0.35035735789443573,-0.14276639305785405,-0.14276639305785405,-0.14276639305785405,0.0,0.0,0.0,15.339467260853308,4590350.969262223,2126205.886160746,9232383.7545737
2013-01-11,15.132349421001384,14.76444503698331,16.191968194648485,15.132349421001384,15.132349421001384,0.3652841375556249,0.3652841375556249,0.3652841375556249,0.46752301307786437,0.46752301307786437,0.46752301307786437,-0.1022388755222394,-0.1022388755222394,-0.1022388755222394,0.0,0.0,0.0,15.497633558557009,5376958.149823622,2582954.9987252555,10766694.684204377
2013-01-12,15.132822545986043,14.80127391977614,16.257287905782533,15.132822545986043,15.132822545986043,0.3781493928484095,0.3781493928484095,0.3781493928484095,0.4410481315808616,0.4410481315808616,0.4410481315808616,-0.06289873873245205,-0.06289873873245205,-0.06289873873245205,0.0,0.0,0.0,15.510971938834453,5449158.5232770005,2679855.804160494,11493449.458937269
